{ Methods = 16, Name = System.Diagnostics.Tracing.EventSource }
{ Methods = 16, Name = System.Globalization.RegionInfo }
{ Methods = 16, Name = System.Runtime.Remoting.Channels.BaseChannelObjectWithProperties }
{ Methods = 16, Name = System.Security.AccessControl.CryptoKeySecurity }
{ Methods = 16, Name = System.Security.AccessControl.EventWaitHandleSecurity }
{ Methods = 16, Name = System.Security.AccessControl.FileSystemSecurity }
{ Methods = 16, Name = System.Security.AccessControl.MutexSecurity }
{ Methods = 16, Name = System.Security.AccessControl.ObjectSecurity`1 }
{ Methods = 16, Name = System.Security.AccessControl.RegistrySecurity }
{ Methods = 16, Name = System.Security.Policy.ApplicationTrustCollection }
{ Methods = 16, Name = System.Security.SecurityElement }
{ Methods = 16, Name = System.Text.ASCIIEncoding }
{ Methods = 15, Name = System.Collections.Generic.Dictionary`2 }
{ Methods = 15, Name = System.Diagnostics.Tracing.EventWrittenEventArgs }
{ Methods = 15, Name = System.IO.StreamReader }
{ Methods = 15, Name = System.Reflection.Emit.DynamicILInfo }
{ Methods = 15, Name = System.Security.Permissions.RegistryPermissionAttribute }
{ Methods = 15, Name = System.Security.Policy.StrongNameMembershipCondition }
{ Methods = 15, Name = System.Threading.ReaderWriterLock }
{ Methods = 14, Name = System.Exception }
{ Methods = 14, Name = System.IO.StringWriter }
{ Methods = 14, Name = System.Runtime.Remoting.Metadata.SoapTypeAttribute }
{ Methods = 14, Name = System.Security.Claims.ClaimsPrincipal }
{ Methods = 14, Name = System.Security.Cryptography.HashAlgorithm }
{ Methods = 14, Name = System.Security.Permissions.KeyContainerPermissionAccessEntry }
{ Methods = 14, Name = System.Security.Policy.ApplicationTrust }
{ Methods = 14, Name = System.Security.Principal.SecurityIdentifier }
{ Methods = 14, Name = System.Threading.Overlapped }
{ Methods = 14, Name = System.Version }
{ Methods = 13, Name = System.Collections.Concurrent.ConcurrentStack`1 }
{ Methods = 13, Name = System.Collections.Queue }
{ Methods = 13, Name = System.Reflection.MemberInfo }
{ Methods = 13, Name = System.Security.CodeAccessPermission }
{ Methods = 13, Name = System.Security.Cryptography.CspKeyContainerInfo }
{ Methods = 13, Name = System.Security.Permissions.KeyContainerPermissionAttribute }
{ Methods = 13, Name = System.Security.Policy.HashMembershipCondition }
{ Methods = 12, Name = System.Collections.ObjectModel.Collection`1 }
{ Methods = 12, Name = System.Collections.Stack }
{ Methods = 12, Name = System.Globalization.IdnMapping }
{ Methods = 12, Name = System.IO.TextReader }
{ Methods = 12, Name = System.Reflection.MethodInfo }
{ Methods = 12, Name = System.Resources.ResourceManager }
{ Methods = 12, Name = System.Runtime.Remoting.Messaging.AsyncResult }
{ Methods = 12, Name = System.Runtime.Remoting.Metadata.SoapMethodAttribute }
{ Methods = 12, Name = System.Runtime.Remoting.ObjRef }
{ Methods = 12, Name = System.Runtime.Serialization.Formatters.SoapMessage }
{ Methods = 12, Name = System.Runtime.Serialization.ObjectManager }
{ Methods = 12, Name = System.Security.AccessControl.DiscretionaryAcl }
{ Methods = 12, Name = System.Security.AccessControl.GenericAce }
{ Methods = 12, Name = System.Security.AccessControl.RawSecurityDescriptor }
{ Methods = 12, Name = System.Security.AccessControl.SystemAcl }
{ Methods = 12, Name = System.Security.Permissions.PermissionSetAttribute }
{ Methods = 12, Name = System.Security.Permissions.StrongNameIdentityPermission }
{ Methods = 12, Name = System.Security.Policy.PolicyStatement }
{ Methods = 12, Name = System.Security.Policy.TrustManagerContext }
{ Methods = 12, Name = System.Security.Principal.IdentityReferenceCollection }
{ Methods = 12, Name = System.Text.Decoder }
{ Methods = 12, Name = System.Threading.ManualResetEventSlim }
{ Methods = 11, Name = System.IO.DriveInfo }
{ Methods = 11, Name = System.IO.IsolatedStorage.IsolatedStorage }
{ Methods = 11, Name = System.Reflection.Emit.ParameterBuilder }
{ Methods = 11, Name = System.Resources.ResourceWriter }
{ Methods = 11, Name = System.Security.AccessControl.CommonAcl }
{ Methods = 11, Name = System.Security.Claims.Claim }
{ Methods = 11, Name = System.Security.Cryptography.SignatureDescription }
{ Methods = 11, Name = System.Security.Permissions.PrincipalPermission }
{ Methods = 11, Name = System.Security.Permissions.ReflectionPermissionAttribute }
{ Methods = 11, Name = System.Security.Permissions.RegistryPermission }
{ Methods = 11, Name = System.Security.Permissions.UIPermission }
{ Methods = 11, Name = System.Security.Policy.NetCodeGroup }
{ Methods = 11, Name = System.Security.Policy.PublisherMembershipCondition }
{ Methods = 11, Name = System.Security.Policy.SiteMembershipCondition }
{ Methods = 11, Name = System.Security.Policy.UrlMembershipCondition }
{ Methods = 11, Name = System.Security.Policy.ZoneMembershipCondition }
{ Methods = 11, Name = System.Threading.WaitHandle }
{ Methods = 11, Name = System.Tuple`8 }
{ Methods = 10, Name = System.Diagnostics.CodeAnalysis.SuppressMessageAttribute }
{ Methods = 10, Name = System.IO.StringReader }
{ Methods = 10, Name = System.Runtime.InteropServices.RegistrationServices }
{ Methods = 10, Name = System.Runtime.InteropServices.SafeBuffer }
{ Methods = 10, Name = System.Security.AccessControl.GenericAcl }
{ Methods = 10, Name = System.Security.Cryptography.CryptoAPITransform }
{ Methods = 10, Name = System.Security.Cryptography.RijndaelManagedTransform }
{ Methods = 10, Name = System.Security.HostSecurityManager }
{ Methods = 10, Name = System.Security.NamedPermissionSet }
{ Methods = 10, Name = System.Security.Permissions.EnvironmentPermission }
{ Methods = 10, Name = System.Security.Permissions.KeyContainerPermissionAccessEntryCollection }
{ Methods = 10, Name = System.Security.SecureString }
{ Methods = 10, Name = System.Text.Encoder }
{ Methods = 10, Name = System.Threading.Tasks.TaskCompletionSource`1 }
{ Methods = 10, Name = System.Tuple`7 }
{ Methods = 9, Name = System.AppDomainManager }
{ Methods = 9, Name = System.ApplicationId }
{ Methods = 9, Name = System.Diagnostics.DebuggerDisplayAttribute }
{ Methods = 9, Name = System.Enum }
{ Methods = 9, Name = System.Reflection.Emit.SignatureHelper }
{ Methods = 9, Name = System.Resources.ResourceSet }
{ Methods = 9, Name = System.Runtime.Remoting.Proxies.RealProxy }
{ Methods = 9, Name = System.Runtime.Serialization.Formatters.SoapFault }
{ Methods = 9, Name = System.Security.Cryptography.AsymmetricAlgorithm }
{ Methods = 9, Name = System.Security.Cryptography.PasswordDeriveBytes }
{ Methods = 9, Name = System.Security.Permissions.FileDialogPermission }
{ Methods = 9, Name = System.Security.Permissions.KeyContainerPermission }
{ Methods = 9, Name = System.Security.Permissions.ReflectionPermission }
{ Methods = 9, Name = System.Security.Permissions.SecurityPermission }
{ Methods = 9, Name = System.Security.Policy.AllMembershipCondition }
{ Methods = 9, Name = System.Security.Policy.ApplicationDirectoryMembershipCondition }
{ Methods = 9, Name = System.Security.Policy.GacMembershipCondition }
{ Methods = 9, Name = System.Security.Policy.StrongName }
{ Methods = 9, Name = System.Tuple`6 }
{ Methods = 8, Name = System.Collections.Concurrent.ConcurrentQueue`1 }
{ Methods = 8, Name = System.Delegate }
{ Methods = 8, Name = System.Diagnostics.Contracts.ContractFailedEventArgs }
{ Methods = 8, Name = System.Diagnostics.DebuggerVisualizerAttribute }
{ Methods = 8, Name = System.Reflection.ExceptionHandlingClause }
